Date ,Time,Customer 15 minute
1/5/2015,2030,1247.84
1/5/2015,2045,1235.68
1/5/2015,2100,1183.52
1/5/2015,2115,1160.08
1/5/2015,2130,1169.12
1/5/2015,2145,1091.92
1/5/2015,2200,1087.92
1/5/2015,2215,1065.36
1/5/2015,2230,1056.32
1/5/2015,2245,1067.36
1/5/2015,2300,1094.72
1/5/2015,2315,1076.16
1/5/2015,2330,1103.76
1/5/2015,2345,1141.52
1/5/2015,2400,1124.48
1/6/2015,0015,1136.24
1/6/2015,0030,1144.88
1/6/2015,0045,1142.08
1/6/2015,0100,1135.20
1/6/2015,0115,1122.16
1/6/2015,0130,1115.52
1/6/2015,0145,1128.40
1/6/2015,0200,1117.60
1/6/2015,0215,1107.36
1/6/2015,0230,1098.80
1/6/2015,0245,1103.44
1/6/2015,0300,1102.88
1/6/2015,0315,1088.00
1/6/2015,0330,1096.64
1/6/2015,0345,1133.12
1/6/2015,0400,1117.20
1/6/2015,0415,1102.80
1/6/2015,0430,1119.68
1/6/2015,0445,1121.92
1/6/2015,0500,1163.60
1/6/2015,0515,1207.84
1/6/2015,0530,1171.60
1/6/2015,0545,1196.72
1/6/2015,0600,1185.76
1/6/2015,0615,1263.12
1/6/2015,0630,1311.68
1/6/2015,0645,1354.48
1/6/2015,0700,1391.12
1/6/2015,0715,1433.60
1/6/2015,0730,1433.68
1/6/2015,0745,1432.16
1/6/2015,0800,1428.48
1/6/2015,0815,1409.20
1/6/2015,0830,1412.16
1/6/2015,0845,1413.60
1/6/2015,0900,1391.76
1/6/2015,0915,1392.16
1/6/2015,0930,1372.64
1/6/2015,0945,1300.88
1/6/2015,1000,1171.12
1/6/2015,1015,978.64
1/6/2015,1030,892.32
1/6/2015,1045,781.76
1/6/2015,1100,794.00
1/6/2015,1115,852.24
1/6/2015,1130,783.04
1/6/2015,1145,763.12
1/6/2015,1200,728.56
1/6/2015,1215,684.48
1/6/2015,1230,713.76
1/6/2015,1245,670.64
1/6/2015,1300,704.24
1/6/2015,1315,690.80
1/6/2015,1330,628.88
1/6/2015,1345,654.32
1/6/2015,1400,656.56
1/6/2015,1415,692.32
1/6/2015,1430,724.48
1/6/2015,1445,867.52
1/6/2015,1500,967.76
1/6/2015,1515,1146.64
1/6/2015,1530,1292.88
1/6/2015,1545,1368.24
1/6/2015,1600,1384.32
1/6/2015,1615,1430.96
1/6/2015,1630,1418.16
1/6/2015,1645,1432.80
1/6/2015,1700,1466.32
1/6/2015,1715,1478.88
1/6/2015,1730,1479.04
1/6/2015,1745,1486.96
1/6/2015,1800,1479.28
1/6/2015,1815,1459.60
1/6/2015,1830,1464.32
1/6/2015,1845,1453.52
1/6/2015,1900,1448.64
1/6/2015,1915,1449.84
1/6/2015,1930,1391.76
1/6/2015,1945,1384.00
1/6/2015,2000,1392.08
1/6/2015,2015,1381.68
1/6/2015,2030,1381.04
1/6/2015,2045,1407.68
1/6/2015,2100,1415.92
1/6/2015,2115,1371.52
1/6/2015,2130,1382.40
1/6/2015,2145,1376.24
1/6/2015,2200,1372.64
1/6/2015,2215,1319.68
1/6/2015,2230,1317.44
1/6/2015,2245,1317.28
1/6/2015,2300,1313.20
1/6/2015,2315,1323.68
1/6/2015,2330,1306.24
1/6/2015,2345,1308.32
1/6/2015,2400,1322.88
1/7/2015,0015,1331.76
1/7/2015,0030,1240.40
1/7/2015,0045,1241.52
1/7/2015,0100,1225.84
1/7/2015,0115,1179.68
1/7/2015,0130,1169.84
1/7/2015,0145,1167.20
1/7/2015,0200,1155.04
1/7/2015,0215,1150.64
1/7/2015,0230,1154.24
1/7/2015,0245,1144.96
1/7/2015,0300,1135.04
1/7/2015,0315,1144.16
1/7/2015,0330,1142.56
1/7/2015,0345,1139.20
1/7/2015,0400,1149.76
1/7/2015,0415,1142.72
1/7/2015,0430,1168.72
1/7/2015,0445,1249.92
1/7/2015,0500,1252.00
1/7/2015,0515,1326.64
1/7/2015,0530,1269.92
1/7/2015,0545,1284.40
1/7/2015,0600,1265.68
1/7/2015,0615,1266.48
1/7/2015,0630,1325.76
1/7/2015,0645,1335.20
1/7/2015,0700,1334.16
1/7/2015,0715,1355.04
1/7/2015,0730,1365.36
1/7/2015,0745,1400.16
1/7/2015,0800,1361.76
1/7/2015,0815,1349.84
1/7/2015,0830,1325.52
1/7/2015,0845,1317.76
1/7/2015,0900,1309.76
1/7/2015,0915,1339.20
1/7/2015,0930,1319.36
1/7/2015,0945,1240.00
1/7/2015,1000,1067.60
1/7/2015,1015,875.36
1/7/2015,1030,772.88
1/7/2015,1045,633.68
1/7/2015,1100,597.20
1/7/2015,1115,593.36
1/7/2015,1130,602.24
1/7/2015,1145,596.56
1/7/2015,1200,587.20
1/7/2015,1215,583.92
1/7/2015,1230,567.28
1/7/2015,1245,585.12
1/7/2015,1300,587.92
1/7/2015,1315,572.88
1/7/2015,1330,586.80
1/7/2015,1345,604.40
1/7/2015,1400,608.00
1/7/2015,1415,637.04
1/7/2015,1430,666.80
1/7/2015,1445,711.04
1/7/2015,1500,833.20
1/7/2015,1515,980.48
1/7/2015,1530,1138.00
1/7/2015,1545,1205.60
1/7/2015,1600,1275.92
1/7/2015,1615,1284.72
1/7/2015,1630,1294.88
1/7/2015,1645,1298.24
1/7/2015,1700,1323.12
1/7/2015,1715,1344.08
1/7/2015,1730,1319.52
1/7/2015,1745,1310.64
1/7/2015,1800,1318.56
1/7/2015,1815,1269.36
1/7/2015,1830,1261.52
1/7/2015,1845,1278.88
1/7/2015,1900,1267.84
1/7/2015,1915,1259.60
1/7/2015,1930,1229.12
1/7/2015,1945,1230.40
1/7/2015,2000,1220.24
1/7/2015,2015,1221.28
1/7/2015,2030,1189.68
1/7/2015,2045,1182.24
1/7/2015,2100,1185.76
1/7/2015,2115,1177.04
1/7/2015,2130,1168.00
1/7/2015,2145,1183.44
1/7/2015,2200,1195.36
1/7/2015,2215,1154.96
1/7/2015,2230,1176.48
1/7/2015,2245,1185.04
1/7/2015,2300,1179.12
1/7/2015,2315,1184.56
1/7/2015,2330,1181.68
1/7/2015,2345,1182.80
1/7/2015,2400,1166.80
1/8/2015,0015,1182.88
1/8/2015,0030,1239.44
1/8/2015,0045,1232.72
1/8/2015,0100,1236.32
1/8/2015,0115,1255.68
1/8/2015,0130,1189.92
1/8/2015,0145,1156.16
1/8/2015,0200,1166.40
1/8/2015,0215,1126.40
1/8/2015,0230,1096.64
1/8/2015,0245,1080.80
1/8/2015,0300,1066.24
1/8/2015,0315,1080.00
1/8/2015,0330,1088.88
1/8/2015,0345,1061.36
1/8/2015,0400,1066.64
1/8/2015,0415,1058.16
1/8/2015,0430,1122.48
1/8/2015,0445,1119.04
1/8/2015,0500,1141.44
1/8/2015,0515,1196.32
1/8/2015,0530,1138.32
1/8/2015,0545,1141.68
1/8/2015,0600,1151.84
1/8/2015,0615,1221.44
1/8/2015,0630,1260.80
1/8/2015,0645,1307.28
1/8/2015,0700,1324.00
1/8/2015,0715,1364.32
1/8/2015,0730,1531.28
1/8/2015,0745,1542.72
1/8/2015,0800,1561.04
1/8/2015,0815,1594.00
1/8/2015,0830,1606.96
1/8/2015,0845,1597.52
1/8/2015,0900,1601.68
1/8/2015,0915,1597.52
1/8/2015,0930,1586.08
1/8/2015,0945,1490.48
1/8/2015,1000,1400.00
1/8/2015,1015,1304.48
1/8/2015,1030,1180.64
1/8/2015,1045,1113.44
1/8/2015,1100,1026.40
1/8/2015,1115,954.00
1/8/2015,1130,938.08
1/8/2015,1145,936.16
1/8/2015,1200,940.96
1/8/2015,1215,938.24
1/8/2015,1230,936.08
1/8/2015,1245,946.56
1/8/2015,1300,962.64
1/8/2015,1315,949.52
1/8/2015,1330,960.40
1/8/2015,1345,960.64
1/8/2015,1400,980.24
1/8/2015,1415,1009.76
1/8/2015,1430,1027.12
1/8/2015,1445,1091.20
1/8/2015,1500,1183.68
1/8/2015,1515,1325.04
1/8/2015,1530,1444.16
1/8/2015,1545,1556.72
1/8/2015,1600,1536.00
1/8/2015,1615,1495.76
1/8/2015,1630,1511.44
1/8/2015,1645,1523.36
1/8/2015,1700,1547.20
1/8/2015,1715,1621.28
1/8/2015,1730,1607.68
1/8/2015,1745,1612.00
1/8/2015,1800,1616.08
1/8/2015,1815,1612.00
1/8/2015,1830,1624.16
1/8/2015,1845,1613.44
1/8/2015,1900,1531.92
1/8/2015,1915,1521.28
1/8/2015,1930,1497.44
1/8/2015,1945,1388.96
1/8/2015,2000,1371.12
1/8/2015,2015,1368.16
1/8/2015,2030,1366.64
1/8/2015,2045,1312.64
1/8/2015,2100,1291.68
1/8/2015,2115,1281.20
1/8/2015,2130,1301.60
1/8/2015,2145,1285.20
1/8/2015,2200,1297.04
1/8/2015,2215,1276.72
1/8/2015,2230,1254.32
1/8/2015,2245,1263.12
1/8/2015,2300,1256.08
1/8/2015,2315,1245.44
1/8/2015,2330,1238.16
1/8/2015,2345,1242.32
1/8/2015,2400,1257.92
1/9/2015,0015,1257.04
1/9/2015,0030,1249.92
1/9/2015,0045,1236.24
1/9/2015,0100,1253.60
1/9/2015,0115,1234.96
1/9/2015,0130,1141.04
1/9/2015,0145,1133.52
1/9/2015,0200,1140.56
1/9/2015,0215,1129.28
1/9/2015,0230,1184.80
1/9/2015,0245,1210.72
1/9/2015,0300,1239.68
1/9/2015,0315,1242.96
1/9/2015,0330,1230.24
1/9/2015,0345,1231.76
1/9/2015,0400,1220.24
1/9/2015,0415,1213.36
1/9/2015,0430,1209.04
1/9/2015,0445,1230.40
1/9/2015,0500,1245.68
1/9/2015,0515,1529.68
1/9/2015,0530,1545.92
1/9/2015,0545,1540.80
1/9/2015,0600,1536.24
1/9/2015,0615,1573.76
1/9/2015,0630,1733.12
1/9/2015,0645,1788.48
1/9/2015,0700,1807.76
1/9/2015,0715,1836.88
1/9/2015,0730,1896.96
1/9/2015,0745,1912.96
1/9/2015,0800,1903.52
1/9/2015,0815,1914.00
1/9/2015,0830,1952.40
1/9/2015,0845,1982.16
1/9/2015,0900,1989.28
1/9/2015,0915,1976.88
1/9/2015,0930,1956.08
1/9/2015,0945,1866.64
1/9/2015,1000,1794.96
1/9/2015,1015,1584.24
1/9/2015,1030,1571.68
1/9/2015,1045,1584.80
1/9/2015,1100,1438.48
1/9/2015,1115,1379.92
1/9/2015,1130,1354.64
1/9/2015,1145,1212.88
1/9/2015,1200,1222.56
1/9/2015,1215,1286.08
1/9/2015,1230,1341.36
1/9/2015,1245,1298.64
1/9/2015,1300,1267.68
1/9/2015,1315,1298.16
1/9/2015,1330,1304.16
1/9/2015,1345,1340.40
1/9/2015,1400,1399.04
1/9/2015,1415,1452.00
1/9/2015,1430,1508.40
1/9/2015,1445,1574.96
1/9/2015,1500,1688.80
1/9/2015,1515,1795.20
1/9/2015,1530,1878.40
1/9/2015,1545,1889.28
1/9/2015,1600,1904.08
1/9/2015,1615,1926.32
1/9/2015,1630,1926.88
1/9/2015,1645,1927.04
1/9/2015,1700,1974.48
1/9/2015,1715,2004.48
1/9/2015,1730,2003.60
1/9/2015,1745,1998.80
1/9/2015,1800,1978.40
1/9/2015,1815,1968.32
1/9/2015,1830,1931.84
1/9/2015,1845,1936.48
1/9/2015,1900,1852.16
1/9/2015,1915,1830.40
1/9/2015,1930,1779.28
1/9/2015,1945,1789.92
1/9/2015,2000,1787.84
1/9/2015,2015,1523.36
1/9/2015,2030,1428.00
1/9/2015,2045,1320.40
1/9/2015,2100,1322.56
1/9/2015,2115,1504.08
1/9/2015,2130,1278.64
1/9/2015,2145,1296.40
1/9/2015,2200,1306.32
1/9/2015,2215,1287.28
1/9/2015,2230,1249.84
1/9/2015,2245,1170.64
1/9/2015,2300,1136.80
1/9/2015,2315,1103.28
1/9/2015,2330,1086.88
1/9/2015,2345,1144.80
1/9/2015,2400,1241.04
1/10/2015,0015,1246.00
1/10/2015,0030,1200.32
1/10/2015,0045,1209.44
1/10/2015,0100,1197.92
1/10/2015,0115,1189.68
1/10/2015,0130,1185.28
1/10/2015,0145,1194.16
1/10/2015,0200,1187.60
1/10/2015,0215,1182.56
1/10/2015,0230,1264.48
1/10/2015,0245,1165.44
1/10/2015,0300,1143.44
1/10/2015,0315,1137.60
1/10/2015,0330,1147.28
1/10/2015,0345,1145.20
1/10/2015,0400,1141.92
1/10/2015,0415,1198.80
1/10/2015,0430,1302.48
1/10/2015,0445,1298.16
1/10/2015,0500,1283.68
1/10/2015,0515,1476.40
1/10/2015,0530,1505.44
1/10/2015,0545,1429.44
1/10/2015,0600,1442.16
1/10/2015,0615,1567.44
1/10/2015,0630,1692.88
1/10/2015,0645,1752.40
1/10/2015,0700,1812.88
1/10/2015,0715,1823.28
1/10/2015,0730,1858.48
1/10/2015,0745,1871.52
1/10/2015,0800,1879.04
1/10/2015,0815,1869.68
1/10/2015,0830,1836.16
1/10/2015,0845,1821.12
1/10/2015,0900,1818.56
1/10/2015,0915,1790.64
1/10/2015,0930,1725.28
1/10/2015,0945,1666.56
1/10/2015,1000,1544.72
1/10/2015,1015,1561.20
1/10/2015,1030,1720.00
1/10/2015,1045,1655.68
1/10/2015,1100,1623.92
1/10/2015,1115,1748.32
1/10/2015,1130,1750.64
1/10/2015,1145,1727.76
1/10/2015,1200,1681.36
1/10/2015,1215,1740.88
1/10/2015,1230,1749.36
1/10/2015,1245,1693.28
1/10/2015,1300,1674.56
1/10/2015,1315,1690.16
1/10/2015,1330,1775.76
1/10/2015,1345,1797.12
1/10/2015,1400,1764.96
1/10/2015,1415,1741.76
1/10/2015,1430,1735.60
1/10/2015,1445,1710.32
1/10/2015,1500,1838.00
1/10/2015,1515,1828.32
1/10/2015,1530,1870.32
1/10/2015,1545,1869.12
1/10/2015,1600,1887.84
1/10/2015,1615,1909.68
1/10/2015,1630,1946.56
1/10/2015,1645,1946.80
1/10/2015,1700,1947.52
1/10/2015,1715,1958.16
