Wall time,Step,Value
1538627491,1057,0.464490294
1538627491,1059,0.664002776
1538627491,1065,1.094812036
1538627491,1068,0.909759223
1538627491,1070,0.821027875
1538627491,1074,0.638629198
1538627491,1078,0.797179282
1538627491,1080,0.857213974
1538627491,1085,0.690967917
1538627491,1086,0.657379508
1538627491,1087,0.621192634
1538627492,1095,0.47812292
1538627492,1101,0.432338417
1538627492,1105,0.483785689
1538627492,1106,0.476793438
1538627492,1107,0.503729522
1538627492,1116,0.990479887
1538627492,1121,0.777723551
1538627492,1135,0.673772335
1538627492,1137,0.644193351
1538627492,1157,0.697282314
1538627492,1158,0.853766859
1538627492,1162,1.212923884
1538627492,1163,1.148938537
1538627493,1164,1.085524201
1538627493,1182,0.766796172
1538627493,1187,0.646952569
1538627493,1194,0.48860538
1538627493,1195,0.477047384
1538627493,1201,0.44779548
1538627493,1203,0.505758524
1538627493,1208,0.873206377
1538627493,1210,1.293177247
1538627493,1212,1.172626734
1538627493,1216,0.931392312
1538627494,1234,0.66380769
1538627494,1236,0.659776211
1538627494,1238,0.603399873
1538627494,1246,0.481934547
1538627494,1249,0.463187575
1538627494,1257,0.889456391
1538627494,1260,1.260814309
1538627494,1263,1.053240061
1538627495,1276,0.933048487
1538627495,1283,0.675660968
1538627495,1289,0.553362131
1538627495,1293,0.494862854
1538627495,1294,0.501288593
1538627495,1295,0.490310252
1538627495,1296,0.481012225
1538627495,1302,0.516471624
1538627495,1312,1.070665479
1538627495,1317,0.840386033
1538627495,1318,0.796704233
1538627495,1321,0.660061538
1538627495,1327,0.863542318
1538627496,1329,0.808937728
1538627496,1332,0.686483741
1538627496,1335,0.650217772
1538627496,1338,0.562128246
1538627496,1339,0.548136234
1538627496,1357,1.358827233
1538627496,1368,0.758625448
1538627496,1372,0.895007372
1538627497,1387,0.570124626
1538627497,1390,0.522148252
1538627497,1391,0.509711564
1538627497,1393,0.504929125
1538627497,1394,0.495316118
1538627497,1414,0.907572687
1538627497,1415,0.864135265
1538627497,1416,0.819196939
1538627497,1421,0.906725824
1538627497,1424,0.932738125
1538627497,1428,0.784823418
1538627497,1430,0.705356598
1538627498,1434,0.640854716
1538627498,1438,0.541834772
1538627498,1442,0.511284471
1538627498,1467,0.736165643
1538627498,1468,0.686719656
1538627498,1479,0.713555217
1538627498,1487,0.548037648
1538627498,1488,0.534816802
1538627498,1491,0.517072916
1538627498,1493,0.494457483
1538627498,1494,0.496668249
1538627498,1503,1.27565527
1538627498,1510,1.014231443
1538627499,1525,0.849770308
1538627499,1526,0.80229038
1538627499,1529,0.729269803
1538627499,1536,0.553684294
1538627499,1548,0.580173969
1538627499,1553,1.422285557
1538627499,1554,1.361476302
1538627499,1556,1.21835053
1538627499,1563,0.84596014
1538627499,1570,1.005685568
1538627499,1571,0.962644935
1538627499,1580,0.689101994
1538627499,1584,0.580689311
1538627499,1586,0.545314789
1538627499,1590,0.517042398
1538627500,1599,0.967760623
1538627500,1606,1.147166133
1538627500,1607,1.080719829
1538627500,1612,0.853320599
1538627500,1620,0.970871449
1538627500,1629,0.694911361
1538627500,1630,0.666655362
1538627500,1634,0.563492239
1538627500,1639,0.521306276
1538627500,1642,0.502777815
1538627500,1644,0.56725949
1538627500,1647,0.79709208
1538627500,1650,1.309681892
1538627500,1654,1.238698125
1538627500,1662,0.806950569
1538627501,1670,0.930781484
1538627501,1672,0.871739149
1538627501,1674,0.78283608
1538627501,1677,0.73469764
1538627501,1678,0.700192332
1538627501,1684,0.553995907
1538627501,1685,0.540723145
1538627501,1693,0.57140553
1538627501,1697,0.982467055
1538627501,1698,0.984198749
1538627501,1699,1.31902349
1538627501,1701,1.394076943
1538627501,1704,1.164420366
1538627501,1711,0.812650561
1538627501,1712,0.769070625
1538627501,1720,0.928605974
1538627501,1721,0.877770603
1538627502,1730,0.60926944
1538627502,1734,0.544380426
1538627502,1736,0.5390535
1538627502,1737,0.528703213
1538627502,1739,0.517607331
1538627502,1744,0.598264456
1538627502,1745,0.808046579
1538627502,1747,0.990561962
1538627502,1748,1.327508688
1538627502,1749,1.46570158
1538627502,1754,1.103990316
1538627502,1768,0.943107247
1538627502,1777,0.680485308
1538627503,1783,0.547702193
1538627503,1790,0.52507484
1538627503,1791,0.578592956
1538627503,1800,1.336613059
1538627503,1807,0.924772263
1538627503,1816,0.996925533
1538627503,1819,0.888224304
1538627503,1826,0.684276104
1538627503,1828,0.616426706
1538627504,1832,0.550718427
1538627504,1842,0.605013967
1538627504,1843,0.817077994
1538627504,1846,1.342205405
1538627504,1851,1.184801221
1538627504,1855,0.976369381
1538627504,1868,0.892741263
1538627505,1870,0.801655829
1538627505,1871,0.757360816
1538627505,1877,0.619519055
1538627505,1878,0.603958964
1538627505,1879,0.581171334
1538627505,1881,0.553456783
1538627505,1883,0.547984838
1538627505,1895,1.348550916
1538627505,1913,1.05169785
1538627506,1919,0.805328608
1538627506,1926,0.622325182
1538627506,1932,0.550429702
1538627506,1936,0.520502567
1538627506,1938,0.587076128
1538627506,1940,0.610574782
1538627506,1946,1.431250811
1538627506,1949,1.195438385
1538627507,1951,1.076413631
1538627507,1954,0.937891722
1538627507,1957,0.789424479
1538627507,1960,0.983075142
1538627507,1969,0.763972878
1538627507,1971,0.758779526
1538627508,1983,0.528310657
1538627508,1984,0.530556262
1538627508,1985,0.522579014
1538627509,1999,1.130493164
1538627510,2003,0.941479027
1538627510,2007,0.739174664
1538627510,2011,1.060061812
1538627510,2012,1.014630675
1538627510,2015,0.903933942
1538627510,2017,0.811685205
1538627510,2019,0.761598349
1538627511,2027,0.574041307
1538627511,2029,0.567249775
1538627511,2032,0.530225754
1538627511,2035,0.536852777
1538627511,2038,0.615152299
1538627511,2040,1.016395092
1538627511,2043,1.506163836
1538627511,2046,1.290120244
1538627511,2062,0.968539119
1538627511,2069,0.764154971
1538627511,2074,0.613449097
1538627511,2075,0.590286553
1538627511,2076,0.575946927
1538627512,2078,0.569120944
1538627512,2079,0.556485891
1538627512,2081,0.531962872
1538627512,2083,0.526171327
1538627512,2087,0.617126882
1538627512,2091,1.368556142
1538627512,2096,1.207959533
1538627512,2098,1.087672472
1538627512,2105,0.744029939
1538627512,2107,0.993225336
1538627512,2108,1.108355165
1538627512,2113,0.909770191
1538627512,2117,0.780426562
1538627512,2122,0.631177008
1538627512,2124,0.592061281
1538627512,2125,0.577674687
1538627513,2135,0.586291373
1538627513,2136,0.618917108
1538627513,2140,1.372446895
1538627513,2143,1.37374711
1538627513,2146,1.141181111
1538627513,2147,1.090746164
1538627513,2150,0.950353086
1538627513,2151,0.900853336
1538627513,2153,0.79988873
1538627513,2158,1.069913149
1538627513,2159,1.024047256
1538627513,2166,0.782571435
1538627513,2167,0.768574595
1538627513,2171,0.63289988
1538627513,2173,0.593670666
1538627513,2175,0.565305889
1538627513,2179,0.534965932
1538627513,2189,1.375973105
